Date,Open,High,Low,Close,Volume
2023-01-01,100.8688401212635,100.79349188532842,99.75730588750335,100.0,7172
2023-01-02,99.52308507325141,100.72727775327982,99.44489793518444,100.30949619892098,2285
2023-01-03,101.10886800015992,102.09820180251666,98.88833102036652,100.61894139095273,4712
2023-01-04,102.80982622445012,102.87365813749233,100.85567487090626,100.92828458432045,1274
2023-01-05,102.68217569422787,102.89014224111727,100.46771176568606,101.23747481747375,8961
2023-01-06,100.60675004402628,103.69373315399461,98.85651890073856,101.54646117418764,7404
2023-01-07,100.4282990805822,103.51732468507457,101.29038813749605,101.85519279865018,5372
2023-01-08,101.84984093620564,103.38732303209144,101.28397878278884,102.163618910532,3550
2023-01-09,101.61690489894669,104.11774036223662,100.44774569006502,102.47168882003375,9270
2023-01-10,102.2876815004859,104.26815933217804,101.9983745103835,102.77935194290654,8677
2023-01-11,102.34783120649837,103.79416210744273,102.60944285571013,103.08655781544115,7460
2023-01-12,104.59102318501922,104.77385539442147,101.19483046956685,103.39325610942144,7396
2023-01-13,104.12087686828858,104.17670025059404,103.22280580465439,103.69939664703784,2675
2023-01-14,104.27490021171035,104.99289055702418,102.034573093778,104.00492941575595,9782
2023-01-15,104.10647578151794,105.31040438152013,103.61546296150776,104.30980458313643,7484
2023-01-16,104.36679248723672,106.09027982230006,104.40987816427094,104.61397251160143,6417
2023-01-17,105.2772996549443,106.82441834339622,104.41937441951728,104.91738377314326,2171
2023-01-18,105.33922418093738,105.23472254029511,104.4223036067528,105.21998916397092,8648
2023-01-19,106.16661021504589,105.81496029387522,105.30818203704148,105.52173971909036,7906
2023-01-20,104.63754817367293,105.88445370645749,105.76405620929991,105.82258672681377,9284
2023-01-21,105.46904312658312,109.434097310086,105.74645975034309,106.12248174319387,3176
2023-01-22,106.92632798664684,107.63083173344816,104.87004466333251,106.4213766063791,2630
2023-01-23,105.93048000699886,108.21882230804437,104.50471882168078,106.71922345088475,9855
2023-01-24,107.38583516067956,107.0520505739547,104.74595518603829,107.01597472177673,3794
2023-01-25,106.16188422425355,107.67481621747484,106.18584978793076,107.31158318876302,5924
2023-01-26,108.74551162266765,108.28849461360402,106.66707706050444,107.60600196018909,3032
2023-01-27,108.81618748169649,110.48253193097462,105.71342377785578,107.89918449693288,5341
2023-01-28,107.52544770357318,109.6920966891551,107.87914324082564,108.19108462619532,7218
2023-01-29,107.64022738369918,111.05559663350012,107.24476113518283,108.48165655518235,3511
2023-01-30,109.19736884039334,109.84208925755806,107.90275793619334,108.77085488467436,1256
2023-01-31,109.65287778073929,111.11708837958041,106.6993396722605,109.05863462247889,8870
2023-02-01,111.74462818638689,109.36863726261491,107.31442043300972,109.34495119676279,3585
2023-02-02,109.98579288993179,109.81635067390714,109.31302033867439,109.62976046925989,2080
2023-02-03,107.56154082392814,110.28781212207059,109.57812186434239,109.91301874835003,3932
2023-02-04,108.45766288711327,112.76367795230696,109.2756474695606,110.19468280200586,8987
2023-02-05,112.27720411329433,111.50591819780908,110.14925985616489,110.47470987060348,8511
2023-02-06,112.95021892749605,112.15157714319744,109.30081583379679,110.75305767959296,4981
2023-02-07,110.18426547484208,111.74921246593229,110.4044328828109,111.02968445202521,6256
